thread,a,tentativa,medicao,binario,fase,r,x,f1,f2,tempo,tempo_hadamard,tempo_modexp,tempo_qft,success
10,490,15,647,10000111,0.631836,201,-531,1,1,0.091032,0.0017569,0.0017454,0.0017142,0
0,291,1,423,10100111,0.413086,489,-531,1,1,0.0918135,0.0022892,0.0023553,0.0016878,0
2,79,15,520,00001000,0.507812,128,-531,1,1,0.0833839,0.0017144,0.0020382,0.0021286,0
7,48,15,194,11000010,0.189453,512,-531,1,1,0.0847225,0.0028313,0.0022879,0.002589,0
3,270,15,683,10101011,0.666992,532,-531,1,1,0.0934925,0.0029642,0.0024985,0.003029,0
5,305,15,288,00100000,0.28125,32,-531,1,1,0.0878299,0.002378,0.0018531,0.0027646,0
4,53,15,118,01110110,0.115234,512,-531,1,1,0.107293,0.0031168,0.0036628,0.0024545,0
6,514,1,524,00001100,0.511719,256,-531,1,1,0.102578,0.002982,0.0034328,0.0032063,0
8,43,1,266,00001010,0.259766,512,-531,1,1,0.0895617,0.003625,0.0025111,0.002709,0
1,404,1,220,11011100,0.214844,256,-531,1,1,0.0940965,0.0023504,0.0023272,0.0023209,0
9,326,1,561,00110001,0.547852,303,-531,1,1,0.103767,0.0020581,0.0017083,0.0019897,0
10,136,1,848,01010000,0.828125,64,-531,1,1,0.0863556,0.0020605,0.0017251,0.0025264,0
5,203,1,115,01110011,0.112305,187,-531,1,1,0.0811829,0.0022632,0.0021972,0.0022102,0
0,291,2,477,11011101,0.46582,395,-531,1,1,0.0988654,0.002434,0.0023255,0.0025244,0
2,197,1,549,00100101,0.536133,429,-531,1,1,0.105277,0.0027615,0.002972,0.0033669,0
4,345,1,667,10011011,0.651367,109,-531,1,1,0.086013,0.0030406,0.0030256,0.0032279,0
6,514,2,540,00011100,0.527344,256,-531,1,1,0.0875211,0.0029514,0.0033198,0.0038418,0
7,472,1,57,00111001,0.0556641,521,-531,1,1,0.100422,0.0024465,0.002762,0.0029543,0
8,43,2,551,00100111,0.538086,407,-531,1,1,0.079788,0.0029526,0.0034189,0.0040019,0
3,290,1,815,00101111,0.795898,49,-531,1,1,0.101425,0.0025092,0.003293,0.002993,0
1,404,2,451,11000011,0.44043,277,-531,1,1,0.0798257,0.0017903,0.0016259,0.0018487,0
9,326,2,226,11100010,0.220703,512,-531,1,1,0.0704919,0.0029911,0.002412,0.0024793,0
10,136,2,700,10111100,0.683594,256,-531,1,1,0.0857751,0.0023531,0.0025232,0.0024668,0
5,203,2,55,00110111,0.0537109,391,-531,1,1,0.0860069,0.0018333,0.0018374,0.0017061,0
4,345,2,314,00111010,0.306641,512,-531,1,1,0.0876281,0.0022559,0.0023569,0.0022083,0
0,291,3,345,01011001,0.336914,279,-531,1,1,0.0973059,0.0023801,0.0022516,0.0018744,0
2,197,2,470,11010110,0.458984,512,-531,1,1,0.0931942,0.0018262,0.002789,0.0021929,0
6,514,3,404,10010100,0.394531,256,-531,1,1,0.096606,0.0028779,0.0025829,0.0024546,0
8,43,3,698,10111010,0.681641,512,-531,1,1,0.0880355,0.0024138,0.0030941,0.0031265,0
3,290,2,795,00011011,0.776367,237,-531,1,1,0.0898858,0.0031892,0.0031469,0.0029699,0
7,472,2,472,11011000,0.460938,128,-531,1,1,0.107465,0.0034137,0.0031046,0.0024234,0
9,326,3,153,10011001,0.149414,87,-531,1,1,0.0917418,0.0022152,0.0021816,0.0024368,0
1,404,3,665,10011001,0.649414,425,-531,1,1,0.101747,0.0023605,0.0021172,0.0023692,0
